OC NO,ORDER NO,BUYER,STYLE,LINE,COLOR,SECTION,OP_SEQ,OPERATION,CODE,WIP  QTY
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Assembly,1,Hanger Loading,HE,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Assembly,2,MANUAL SHOULDER JOIN,AS24,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Assembly,3,Shoulder Top Stitch,AS02,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Assembly,4,Collar Attach,AS03,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Assembly,5,Collar Finish,AS04,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Assembly,6,Sleeve Attach,AS05,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Assembly,7,Sleeve Top,AS06,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Assembly,8,Side Seam,AS07,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Assembly,9,Cuff Attach,AS09,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Assembly,10,Bottom Hem,AS14,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Back,1,Back Dart,BA01,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Back,5,Yoke Size Label Attach,BA05,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Back,6,Main Label (Four Side),BA17,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Back,7,Premium Label Attach,BA04,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Back,9,Yoke Top Stitch,BA07,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Collar,1,Tape Attach At Neck Band,CL38,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Collar,2,Neckband Hem with Tape,CL25,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Collar,8,Collar Bone Patch Attach,CL02,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Collar,9,Collar Run Stitch-Fusible(Solid),CL03,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Collar,10,Top Stich Collar,CL05,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Collar,11,Collar Stay Stitch,CL07,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Collar,12,Neckband Attach,CL37,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Collar,14,Band Top Deco Stitch,CL18,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Collar,15,B/H Band & B/S,CL15,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Cuff,1,Run Cuff-Round Shape,CU02,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Cuff,2,Top Stitch Cuff,CU07,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Cuff,3,Cuff Button Hole (2 Hole In Shirt),PCU03,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Cuff,4,Cuff Button Sew( 4 In Shirt),CU12,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Front,1,Front Neck Stitch,FR08,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Front,2,Front Button Hole,FR14,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Front,5,FRONT NECK STITCH (RIGHT),FR08A,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Front,6,Front Button Sew,FR15,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Front,7,Wash Care Label Attach,FR18,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Front,8,Pairing,FR24,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Sleeve,1,Sew Small Sleeve Placket,SL01,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Sleeve,2,Sleeve Tacking,SL02,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Sleeve,3,Sleeve Box,SL04,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Sleeve,4,Button Hole On Sleeve Placket,SL07,70
LC/HB/24/11788.3,4901636802,HUGO BOSS,H-HANK-kent-C1-214-50469345,Line 1,001-BLACK,Sleeve,5,Button Stitch On Sleeve Placket,SL08,70